620502 47808.3,47718.2,51310.0,48793.6,51713.0,40938.0,51179.0,51782.0,53627.0,57135.0,61630.32,57494.46,64712.86,68294.8,70172.1,74637.11,72221.03,70756.0,73530.0,77174.0
620503 39444.4,40500.7,42463.0,42018.2,44864.42,34966.0,42229.4,38256.5,41961.6,36822.0,48742.98,44735.0,51366.46,56063.89,57415.25,61068.55,58679.39,63200.0,69900.0,72185.0
620521 31160.4,32493.9,35858.5,34827.0,37472.0,29829.0,37814.8,38325.0,41028.5,41534.0,44178.27,40918.0,45931.2,47856.5,48427.44,51508.38,49811.0,52223.0,54500.0,57179.4
620522 57156.0,58073.0,62199.0,62366.0,66367.95,46790.0,55210.0,51366.0,53425.0,46016.0,52717.0,48500.0,55500.0,58600.0,59355.0,63131.72,59987.27,63463.0,64000.0,67680.06
620523 50767.77,50865.4,53696.0,52242.0,52249.6,37892.0,56515.9,57296.4,59589.2,55304.6,60752.21,56202.0,62928.0,65899.0,67304.0,71586.51,68766.38,71927.03,74200.0,77800.0
620524 34097.21,35128.56,36760.0,35410.0,38147.36,28940.0,32680.43,33165.76,33525.7,29310.86,36600.89,33642.41,36359.9,39851.5,41222.0,43844.93,42268.12,43400.0,44800.0,46500.0
620525 31042.8,28758.0,29591.0,28108.0,30020.0,21472.0,33446.34,33637.63,37552.62,32818.7,33952.44,29958.9,32879.4,32615.02,32800.0,34881.73,33975.41,36693.0,38289.5,40724.81
620802 73207.7,63056.4,63741.6,64064.0,63999.8,51588.35,59420.1,57588.9,63072.9,64270.6,67199.92,70368.28,68301.63,61509.35,64290.4,50000.0,54600.0,48500.0,51565.61,52083.68
620821 72117.9,57738.6,60312.7,58871.0,57461.1,46550.9,58468.5,56938.1,60482.24,61534.4,69910.5,62700.0,72042.3,65740.2,65506.9,56500.0,54600.0,42105.0,43916.91,47590.0
620822 55791.7,48915.3,52199.5,53368.6,53853.58,42679.51,56488.2,55441.0,60480.4,61685.6,62056.0,54700.8,64995.2,56900.0,66943.1,80100.0,83300.93,81096.57,81250.78,79554.5
620823 18682.3,14557.0,16518.8,16770.0,16601.85,13333.0,15138.0,14853.7,16110.0,16293.4,18450.6,17010.8,19016.4,17600.0,19800.0,19600.0,22115.6,21335.0,21279.37,22855.1
620825 60422.82,52738.59,57072.76,58657.73,57839.25,46572.94,56035.96,59774.0,62571.0,63392.0,64275.0,67800.0,72498.0,75660.0,80206.0,62100.0,64000.0,56109.52,55210.99,59721.64
620826 73076.0,66310.0,74207.0,71177.0,71641.52,50160.64,71242.2,75175.78,78981.0,79857.0,83436.0,77934.91,82100.0,85095.0,75407.8,53200.0,49700.0,51794.9,48468.8,48145.55
620881 18313.17,14575.52,14616.09,15152.2,15356.85,14312.61,15322.0,15834.59,17180.53,17558.59,19400.9,19316.0,21694.0,21991.0,24091.0,19200.0,18735.0,18801.0,18508.0,19742.0
621002 64724.0,59480.3,55304.01,55519.0,53505.0,40181.02,47436.0,43948.8,52621.8,49786.0,61499.2,49348.6,58095.8,60446.42,60792.36,58300.0,60895.21,58875.14,53315.7,55543.12
621021 62299.4,49029.12,45023.0,43756.39,27126.73,11257.86,50838.74,37069.12,51000.0,40653.0,65747.1,44880.3,68248.33,68350.8,68390.2,61940.7,55989.6,49756.82,42095.68,46281.62
621023 23655.0,21689.0,16695.36,12780.0,12261.2,2461.0,18046.25,16237.1,15410.0,3718.3,8451.0,8767.55,11782.05,18343.51,16859.99,11320.25,6086.51,7028.07,6289.6,6255.7
621024 34280.79,23375.0,18819.0,21822.0,22270.0,18053.84,23703.16,20831.0,23883.0,21630.0,25544.0,21715.0,25128.0,25294.5,25071.2,12814.85,12813.3,14560.94,11425.5,12445.36
621025 32833.0,21033.0,19278.0,23455.0,22744.0,22888.0,28896.0,28309.0,27661.0,24919.0,25676.0,19958.4,20570.0,21505.0,21505.0,7000.0,7000.48,3312.8,3189.0,3595.0
621026 118321.2,96107.6,90000.66,101550.75,104313.0,89981.91,108556.64,111356.91,103848.0,102622.8,105417.0,100844.8,109424.0,114207.38,105506.94,105000.0,105105.0,98822.84,86846.4,98462.0
621027 132176.7,104181.84,102120.7,89830.1,86039.0,42201.0,91993.68,71980.0,102174.0,90437.0,114615.6,76968.0,94173.25,99592.29,92600.0,96400.0,94522.97,88538.0,82385.6,89838.59
621202 37349.7,42959.1,47175.8,47461.8,49125.2,46792.1,48140.1,47178.0,45596.9,46492.62,45629.8,45181.68,46608.18,47293.22,47238.62,30042.21,31846.17,33573.38,33750.0,32692.6
621221 54578.8,34723.0,52393.0,53332.8,61165.8,55825.0,57420.0,55650.0,56172.0,52171.65,58788.6,54275.35,57290.8,59743.83,60477.65,44071.73,44732.61,45600.0,45470.56,46298.57
621222 15474.9,16976.83,18291.3,22081.78,16838.71,17013.0,16207.54,16118.71,16473.62,17224.23,17251.78,16754.0,18058.85,18677.8,19441.69,9600.0,10020.4,10419.0,10381.0,10211.0
621223 20762.6,24218.5,23916.5,22752.7,22519.9,19927.3,13562.6,13997.1,15257.3,15387.7,15475.2,15136.1,15242.52,16249.3,16433.2,13755.18,12440.15,12013.6,12309.83,11764.0
621224 27352.1,27526.4,28594.0,24769.0,25408.0,28843.3,30986.6,30747.7,28682.6,31275.6,31996.7,31922.9,34095.3,35289.0,36704.0,15661.14,16973.35,16673.5,17204.0,17433.0
621225 35148.7,35602.7,36112.5,38513.0,40569.62,42217.2,35568.0,47080.0,43029.2,43161.6,43436.0,41817.5,45080.0,47198.7,48533.6,47425.47,47469.7,47800.0,49394.0,51194.0
