Year,Code,Area
2020,411525,36001.2
2020,411526,37333.33
2020,411527,56000.0
2020,411528,105970.09
2020,411621,65146.67
2020,411622,74443.33
2020,411623,80093.33
2020,411624,73266.67
2020,411625,89201.93
2020,411627,110240.0
2020,411628,72906.67
2020,411681,75880.0
2020,411721,72295.67
2020,411722,98686.67
2020,411723,80900.0
2020,411724,130650.47
2020,411725,56521.49
2020,411726,75046.49
2020,411727,86819.53
2020,411728,54287.84
2020,411729,86210.31
2020,419001,21240.0
2019,620502,21236.0
2019,620503,19128.33
2019,620521,16859.53
2019,620522,21333.33
2019,620523,22046.67
2019,620524,13402.93
2019,620525,13122.8
2019,620802,14141.99
2019,620821,13423.73
2019,620822,25702.38
2019,620823,6649.33
2019,620825,17361.55
2019,620826,16486.27
2019,620881,6119.93
2019,621002,16401.42
2019,621021,17774.47
2019,621022,30014.0
2019,621023,2498.93
2019,621024,4066.73
2019,621025,908.83
2019,621026,26270.79
2019,621027,29319.73
2019,621202,7865.86
2019,621221,10257.55
2019,621222,2566.15
2019,621223,3526.67
2019,621224,4582.53
2019,621225,15812.47
2019,621226,27642.67
2019,621227,9206.33
2019,621228,1898.22
2020,620502,21248.67
2020,620503,20191.93
2020,620521,17010.89
2020,620522,20584.73
2020,620523,22020.0
2020,620524,13336.33
2020,620525,13149.47
2020,620802,14963.56
2020,620821,12772.3
2020,620822,23867.45
2020,620823,6333.33
2020,620825,16175.85
2020,620826,14333.27
2020,620881,6002.93
2020,621002,15714.36
2020,621021,17022.8
2020,621022,30529.29
2020,621023,2417.07
2020,621024,3781.53
2020,621025,883.5
2020,621026,25384.65
2020,621027,29475.87
2020,621202,7676.2
2020,621221,10115.67
2020,621222,2606.33
2020,621223,3566.67
2020,621224,4536.0
2020,621225,15682.13
2020,621226,27653.33
2020,621227,9053.07
2020,621228,1793.24
2021,620502,21341.33
2021,620503,19800.53
2021,620521,17070.03
2021,620522,20668.6
2021,620523,22086.67
2021,620524,13470.67
2021,620525,13337.67
2021,620802,14747.9
2021,620821,13527.05
2021,620822,23226.18
2021,620823,6753.33
2021,620825,17343.8
2021,620826,13920.73
2021,620881,6320.07
2021,621002,15600.0
2021,621021,17070.2
2021,621022,30580.92
2021,621023,2242.9
2021,621024,3565.12
2021,621025,986.21
2021,621026,26387.13
2021,621027,29809.94
2021,621202,7288.68
2021,621221,10216.13
2021,621222,2536.0
2021,621223,3266.67
